Variable,Min Value,Max Value
V_LA,41.0,90.0
V_LV,41.0,114.0
V_RA,52.0,97.0
V_RV,46.0,118.0
P_Ar_Pul,17.0,22.0
P_Ven_Pul,15.0,16.0
Q_Ar_Pul,21.0,264.0
Q_Ven_Pul,-21.0,299.0
P_Lung,16.0,18.0
Q_RL1,16.0,122.0
Q_LL1,15.0,98.0
P_LL,16.0,17.0
P_RL,16.0,17.0
Q_LL2,18.0,63.0
Q_RL2,23.0,74.0
P_Ren,64.0,118.0
Q_Ren2,13.0,27.0
P_ULimb,66.0,88.0
Q_ULimb,7.0,9.0
P_Cer,64.0,124.0
Q_Cer,13.0,27.0
P_SVC,12.0,12.0
Q_SVC,29.0,44.0
P_AA,66.0,129.0
Q_AA,11.0,698.0
P_AArc,66.0,123.0
Q_Sub,-1.0,47.0
Q_CCar,-21.0,234.0
P_DscA,66.0,120.0
P_AbdA,65.0,116.0
P_Cel,65.0,113.0
Q_Cel,5.0,78.0
Q_DscA,8.0,332.0
Q_Ren1,13.0,28.0
Q_AbdA,-1.0,249.0
Q_Iliac,-8.0,98.0
Q_Spl2,4.0,5.0
P_Spl,56.0,69.0
Q_Spl1,2.0,13.0
P_Hep,58.0,93.0
Q_Hep2,6.0,11.0
Q_Hep1,5.0,27.0
P_Ven_Por,26.0,26.0
Q_Ven_Por,18.0,18.0
P_Mes,62.0,72.0
Q_Mes2,11.0,14.0
Q_Mes1,2.0,42.0
P_LLimb,67.0,90.0
Q_LLimb,8.0,11.0
P_IVC,15.0,15.0
Q_IVC,47.0,63.0
P_CCar,65.0,123.0
Q_ECar,1.0,62.0
Q_ICar,-16.0,130.0
P_Fac,62.0,103.0
Q_Fac,8.0,15.0
P_LV,9.0,134.0
P_LA,10.0,17.0
P_RV,3.0,26.0
P_RA,4.0,7.0
Q_MV,-0.0,529.0
Q_AV,-0.0,778.0
Q_TV,-0.0,338.0
Q_PV,-0.0,922.0
