Variable,Mean Value
V_LA,72.0
V_LV,73.0
V_RA,74.0
V_RV,77.0
P_Ar_Pul,19.0
P_Ven_Pul,16.0
Q_Ar_Pul,91.0
Q_Ven_Pul,91.0
P_Lung,17.0
Q_RL1,49.0
Q_LL1,42.0
P_LL,16.0
P_RL,17.0
Q_LL2,42.0
Q_RL2,49.0
P_Ren,84.0
Q_Ren2,18.0
P_ULimb,79.0
Q_ULimb,8.0
P_Cer,84.0
Q_Cer,18.0
P_SVC,12.0
Q_SVC,36.0
P_AA,89.0
Q_AA,91.0
P_AArc,87.0
Q_Sub,8.0
Q_CCar,28.0
P_DscA,85.0
P_AbdA,84.0
P_Cel,83.0
Q_Cel,13.0
Q_DscA,55.0
Q_Ren1,18.0
Q_AbdA,36.0
Q_Iliac,10.0
Q_Spl2,5.0
P_Spl,64.0
Q_Spl1,5.0
P_Hep,73.0
Q_Hep2,8.0
Q_Hep1,8.0
P_Ven_Por,26.0
Q_Ven_Por,18.0
P_Mes,68.0
Q_Mes2,13.0
Q_Mes1,13.0
P_LLimb,80.0
Q_LLimb,10.0
P_IVC,15.0
Q_IVC,55.0
P_CCar,85.0
Q_ECar,11.0
Q_ICar,18.0
P_Fac,79.0
Q_Fac,11.0
P_LV,52.0
P_LA,14.0
P_RV,11.0
P_RA,6.0
Q_MV,91.0
Q_AV,91.0
Q_TV,91.0
Q_PV,91.0
